Gene_Name,D33_1,D33_2,D33_3,AD_1,AD_2,AD_3,rib1,rib2,rib3
H2afv,600,826,957,260.99,202,243,686,333,358
Enho,429,677,643,31,20,15,319,197,204
Dlx5,447,767,489,1,2,1,307,411,195
Adamtsl3,514,801,406,7,7,8,101,43,168
Tprkb,742.29,1003.02,335.31,143.14,93.15,142.77,439.77,411.99,421.67
Prss23os,322.32,392.73,1103.77,54.39,9.67,42.41,32.34,8.81,29.57
Pcdhga8,524.73,843.03,588.58,107,73.35,56.31,291.34,88.98,18.78
Dixdc1,624.48,890.01,458.3,85,56,59,568,488,376
Gm27956,786.82,961.49,88.05,18.73,17.81,15.47,1.5,8.88,4.79
Gm27857,559.44,1244.6,175.02,31.61,5.66,155.6,9.92,43.08,0
Adamts14,653.18,899.1,350,12,7,10,244,237,127
Gm22662,814.92,948.95,205.8,27.7,16.28,48.03,31.44,6.02,4.49
Rpl39-ps,891.16,916.84,422.04,126.58,76.95,125.86,541.42,502.27,538.47
Fap,539.08,885.06,585,46,33,24,552.07,293.14,541.1
Nbl1,519,660,1586,315,267,275,521,104,274
Gm21917,849.85,926.58,238.75,38.9,23.68,14.77,22.8,8.82,10.17
Ano1,700,1123,419,110,81,108,140,52,60
Paqr6,527.01,763.79,666.56,5,1,7,6.41,5,3
Cxcl14,570,693,846,65,47,49,436,41,543
Gm23638,1026.59,1036.47,196.25,137.42,48.09,76.07,45.85,0.23,19.98
Gstt3,609.34,1104.88,823,200.36,103.98,159.81,171,99.35,143
Gm10073,1251.2,735,791.73,257.96,194.81,246.35,10.67,15.53,5.39
Zfp385c,617.1,1022,504.49,2.75,0,2.32,402.37,391.8,274.48
Rpl19-ps11,763.41,996.7,736.87,103.7,97.59,144.12,77.81,229.77,213.46
Gm9964,989.05,1181.91,180.05,20.8,6.08,49.86,17.41,12.38,4.84
Atpif1,830,1296,1134,358,282,333,805,883.56,780.19
Gm25735,954.51,1459.75,195.56,113.79,77.3,122.92,30.08,22.7,16.06
Cpxm1,591,876,1207,144,108,116,382,173,388
Gm27896,1043.01,1377.4,171.53,101.01,66.6,99.03,45.9,18.54,28.35
Trip6,918,1261,1087,337,244,318,726,566,462
Glis2,607,701.03,1132.06,13,5,17,481,348,266
Bmp5,689.72,1056.53,674.61,5,4,2,485.85,290,467.51
Cbx6,647,1052,1220.97,175.24,130.82,162.88,768.58,473.37,803.16
Gm11942,311.75,887.74,1374.92,37.9,31,19.52,5.03,1.49,0
Emilin3,589,705,1197,1,0,0,139,107,91
Cpm,814.51,986.15,773.02,33,25,16.01,821.34,141,664.39
Cox4i2,637,1189,786,32,39,40,538,138,454
Zfhx4,807,1068,728,34,20,46,355,229,376
Cmtm7,665.74,965.72,1059.61,73,53,62,439.19,754.05,635.55
Per3,909.04,1469.82,475.74,132.02,90.27,122.51,892.04,476,513
Cracr2b,696.07,1021.98,1355.23,195.2,149.35,155.85,64.91,201.87,120.44
Use1,711,1210,1815,444,299,413,865,841,652
Il11ra2,644.69,846.09,1093.81,0,4.08,0,116.45,44.16,29.07
Nsmf,881,1386,1063,271,181,273,845,648,496
Galr2,423,1023,1194,1,2,1,45,17,32
Gm12411,888.54,1142.64,881.18,77.73,71.88,123.02,0,3.54,0
2010111I01Rik,874.35,1148.64,914,117.72,79.91,97.77,391.84,486.93,516.7
Bmper,840,1315,908,143,89,113,230,290,339
Ackr3,924,1416,1303,319,228,281,1493,298,425
Cdc42ep3,700.98,1448.24,1258.86,206.97,167,184.99,829.9,479.85,655.82
Fbxo2,952,998,935,2,2,1,167,91,355
A430033K04Rik,1214.71,1193.69,604.62,43.11,35.85,44.95,78.85,53.38,63.66
Mxra7,696.37,914,1473.13,76.11,47,62,145,86,92
Tmem254c,431,774.07,2243.95,128.59,82.95,190.46,103.55,71.92,124.92
Mn1,699,1284,1295,88,57,69,122,17,147
Smim3,841,1177,1133,10,5,6,284,207,428
Aff3,452,1902,1594,291,193,225,607,377,994
Ptn,625,1367,1255,0,2,4,719,167,312
Fzd1,873.4,1276.74,1769.74,256,181,215,606.01,322,894.22
Cpxm2,931,924,1507.72,19,11,15,432.25,144,319.11
Gm25197,1503.65,1898.3,257.81,101.42,73.18,145.01,46.77,39.53,9
Selm,810,1084,1740,99,73,78,290,256,263
Fam19a5,853,1386,1181,4,5,4,95,61,104
Gm11518,1122.73,1483,1501.35,219.28,152.84,268.92,0,0,0
Trabd2b,1268,1702.29,1770,482.02,322.1,446,275.93,33,244
Shisa2,843,1310,1519,9,6,12,146,116,91
Prrx1,1388.77,2305.06,1152.43,390.47,296.04,375.82,964,414,1138
Crlf3,1084.53,2189.89,871.99,139.93,90,113.8,994.56,842.59,826.58
Gm10020,1668.37,1642.51,519,1.75,6.71,7.17,5.99,14.05,0
Gm15725,1490.37,1773.22,1691.16,316.43,216.49,355.83,0,0,31.03
Lmcd1,1152,1719,1781,212,155,187,450,643,197
Gm10036,1679.82,1380.25,1111.3,0,0,0,28.16,9.48,1.58
Pla2g5,1393,1795,1018,11,3,9,97,67,116
Gm28017,1916.03,2277.92,330.26,134.65,48.71,120.62,23.3,12.75,9.09
Bambi,1149,2052.72,1307,87,86,79,1064,1030,878
Prss23,1547.68,1935.27,1686.23,302.61,242.33,284.59,528.66,37.19,194.43
Chek2,2081.42,2437.41,438.69,205.1,162.83,210.3,142.27,172.87,205.87
Rps3a3,2273.52,11.63,2193.67,1.55,0,2.65,9.25,4.97,2.87
Dbp,1141.41,2046.7,1948.36,252.81,197.03,211.65,832.45,361.78,418.6
Rps27rt,1276.66,1738.18,1696.82,87.8,64.86,55.93,82.46,259.16,292.38
Rpl37,1135.64,2082.48,2398.95,346.1,231.59,265.69,1729.01,1336.23,1167.8
Tgfb3,1095.92,1796,2440,196.96,139,198,976.53,705,420.95
Gm4617,1359.03,2148.76,1769.5,166.43,123.45,154.11,33.18,29.55,7.33
Fam195b,1515,2324,3195,842,551,758,1154,1019,983
Nupr1,1601.52,1913.63,2660,480.01,310,388.03,1956,647,1780
Tspan6,2185,2899,801,260,209,242,759,473,752
Rpl36a-ps2,1937.65,2311.61,1434.01,166.85,102.44,176.94,817.29,709.6,667.08
Vkorc1,1860,2351.58,2593,596,405,549,1237.47,1217,1198.14
Chpf,1642,2233,2864,560,412,504,1001,1157,909
Reck,1584,2285,1506,37,19,33,1089,589,1016
Pfdn5,1920.72,2675.65,3117.6,877.07,637.67,794.81,1352.07,1124.57,892.14
Slc22a17,1801,2529,1552,149,116,198,559,612,330
Rps3a2,2657.4,11.07,2885.16,0,0,0,17.98,0,6.17
Shfm1,1943,2764,2309,487,354,462,1207,1362,1104
Cyp26a1,789,1197,3763,1,3,4,7,6,1
Tmem119,1033,1627,3467,124,113,130,1077,603,614
Ramp2,2368.58,3367.55,1751.99,621.2,449.7,632.94,240.78,101.13,128.37
Gpm6b,1599,2223,2475,118,75,94,227,184,223
Aqp2,1908,2596,1558,0,1,0,0,0,0
Matn4,1065.96,1646.9,3363.9,0,1,1,735.54,810.55,402.58
Nenf,1921,2510,3069,431,324,394,606,432,421
Fau,2190.93,2748.63,2822.71,458.6,398.17,443,1251.26,711.24,530.92
Rhoj,1557,2042,3591,275,171,222,86,80,197
Gm9800,1995.98,3046.6,2467.27,302.82,235.31,334.31,0,0,14.96
Gm25072,2942.3,3709.35,699.5,170.47,133.75,242.96,88.7,38.83,37.72
Gm12191,2689.92,3436.16,2039.11,393.78,295.21,391.03,928.94,1277.61,793.75
Gm14303,1884.99,3313.17,2472.84,199.01,162.11,177.23,175.7,324.17,163.66
Gm10443,2165.13,3315.73,2117.93,159.02,159.25,120.95,624.79,662.42,490.78
Msx1,1577,2506,3172,37,27,16,47,19,22
Pdgfrl,1997.04,2247.67,3102,20.06,15,20,548.06,383,529.45
Rpl31,2312.21,3178.46,3213.03,513.51,359.21,453.97,2920.23,1715.64,1732.64
Sdc1,1818,2573,3568,198,141,215,2318,878,1239
Plxdc2,2098,3035,3646,465,351,437,238,113,301
Tsc22d3,2271,4593,3643,1021,769,1002,1110,982,898
Dynll1,2131.87,3465.07,3923.43,637.2,449,602.05,1987.22,2169.82,1656.53
Ppap2a,2103.72,2878.48,3997.93,345,286,362.66,1135.69,497.44,507.32
Pkd1,2660.52,3193.42,2983.89,338.34,225.53,243.45,1625.99,1405.7,1851.06
Eva1b,1642,2617,4290,122,102,156,554,390,273
Mfap2,1807,2521,4084,31,17,27,313,171,255
Gm10076,3131.09,4059.02,3612.84,877.21,644.4,915.89,6.63,0,20.24
Synpo,2609,3433,2693,127,69,108,2071,1452,1627
Ecm2,2868.94,4050.87,1785.96,99.07,76.12,91.27,288.91,47.81,401.89
Ogn,2459,4292,3161,447,330,421,1123,170,934
Gm8430,3107.39,3890.34,2426.2,217.82,57.1,196.58,1411.39,869.5,700.58
Emp3,1873,2677,5032,189,134,207,882,2037,1560
Rpl34,4099.52,2944.35,2678.14,219.81,160.72,205.65,1971.02,1434.45,1802.58
Gm15501,2788.22,4631.77,3555.36,666.54,458.13,610.47,1474.68,1241.27,1167.17
Rpl10a,2930.63,4051.88,4301.53,767.08,551.78,722.83,3375.63,2740.96,2655.86
Rps27a-ps2,3588.76,3959.55,2858.94,309.51,190.8,226.61,558.51,478.57,391.85
Fbn1,3082.95,3891.65,3235.92,213,152,157,1912.18,661.25,3298.55
Rps23,2963.42,4336.07,3405.29,339.31,247.68,318.75,2039.86,1815.54,1748.88
Fam101a,2542,3980,3685,2,1,7,1566,1433,1194
Boc,2972,4014,3935,262,180,166,869,194,826
Rnase4,3347.92,4205.87,4484.97,605.96,454.34,519.78,249.77,918.27,739.62
Rpl29,3714.24,5192.07,4606.91,1091.67,818.17,1062.43,1788.11,1449.4,2115.82
Thbs4,4596,2547,3891,0,0,0,2646,531,2361
Igfbp2,2077,2444,6620,5,2,1,32,9,16
Fuca1,4237,5790,4945,1389,1024,1314,694,1342,1045
Aspn,4342,4689,2867,108,72,98,1097,180,793
Itgbl1,3153,3307,5242,14,5,6,35,7,19
Pcolce,3085.4,3649.37,6252.9,360,249,340,1258,628,861
Ptgis,2898,3810,5538,71,54.5,68,3479.98,1470,1292.98
Crtap,3952,5248,4761,754,529,608,2997,3351,3673
Uba52,5562.53,6729.87,5892.14,1926.63,1457.74,1956.79,1694.21,1471.27,1304.2
Rps28,3923.87,5783.05,4474.9,490.98,311.12,409.08,3531.68,2629.79,2313.04
Lhfp,3286.44,4892.78,5198.75,131.64,92.24,133.04,195,70.35,198.88
Rps16,3660.9,5681.22,5866.73,781.47,594.21,751.81,4819.67,3421.24,2822.09
Igfbp6,3016,3255,8487,605,463,592,641,137,307
Rabac1,4376,6190,7564,1900,1370,1723,1918,2047,1625
Rpl35a,4692.6,5759.69,4138.56,344.91,292.18,337.56,2349.46,1907.72,2459.45
Rpl21,3891.02,6761.59,6038.95,1122.84,872.97,1042.74,2996.48,3086.53,3363.4
Gm2000,4619.71,7242.75,5424.89,1310.96,853.59,1170.47,2583.3,2111.49,2075.15
Nfic,3405.93,5244.94,8525.79,1175,912,1094,2994,2765,3578
Cbr2,4419,8353,3630,939,608,818,128,442.77,372
Gm10288,4846.83,6436.25,5062.15,808.25,516.7,725.37,3111.26,2041.32,2134.66
Rps12l1,5434.22,5742.85,4136.74,356.22,221.89,356.75,0,0,0
Ppap2b,4267,6612,9997,2454,1739,2147,433,438,598
Mxra8,4523.99,5989,7648.99,1374,919,1284,1374.77,907.86,1135.94
Gm10163,4973.19,4867.84,5720.71,395.16,193.81,270.29,3132.95,1679.01,1810
Gas1,4254,3611,7619,289,213,275,1911,310,1877
Calm2,5362.85,7545.18,5972.34,1598,1173,1390,3990,3598,3688
Ppp1r1b,4499.9,7003.82,3619.97,4,1,0,1233.35,482,1536.96
Ninj1,4535,6164,6518,623,454,610,1597,3662,2816
Gstm5,2748.94,6970.83,7836.98,620.91,460.86,561,519.3,328.35,438.5
Fndc1,4866.14,5190.87,6783.07,85,62,63,785,134,604
Gdf5,3160.52,6573.43,7373.7,108,64,87,223.25,50.17,59.01
Dkk3,3961,5959,7000,14,23,21,131,46,93
Nfix,4061.27,5805.91,8013.12,389.95,295.79,286,1743.72,944.45,1873
Omd,6261,8989,1683,6,5,3,1306,56,1850
Rpl26,5989.75,7882.25,6584.04,1253.5,859.1,1098.36,3442.75,2819.68,4513.61
Col8a2,3654,6001,8012,8,12,17,352,168,237
Gm9780,1270.48,2537.29,13930.62,36.63,14.78,37.03,31.65,14.97,29.03
Ifitm2,6306.06,9188,9329.69,2734.8,1943.45,2484.77,1351.3,1139.71,1726
Apod,4046.65,5294.11,8492.33,15,12,6,83,17,14
S100b,5289,8781,4568,81,53,61,872,757,1023
Rpl36,4498.44,7468.62,10775.3,1164.17,820.88,1028.08,3913.87,2895.46,2805.93
Rplp2,6917.34,9034.26,9108.39,1943.33,1414.28,1711.97,6438.06,5480.16,5147.76
Nrep,4491.23,9813.83,6057.72,130,101.1,118,1797,1446,3098
Rpl14,6068.88,8699.73,9882.86,1673.17,1236.71,1663.98,6151.29,4758.27,6319.23
Rps18,5927.18,9404.56,8484.03,1351.56,933.26,1169.88,2724.91,4220.5,5223.01
Rps25,7243.87,11179.88,7094,1830,1386.19,1806.77,5834.39,5182.66,5354.19
Scara3,6071,9214,6411,107,78,87,1531,302,913
Tspan3,8261,12795,7419,2385,1753,2337,2846,2498,2839
Crip1,6130.57,4842.19,13987,1068,764,921,199,713,627
Ucma,6301,7705,8764,0,0,0,2142,650,2158
Rps29,7096.85,11418.7,7795.2,1290.99,934.89,1248.76,3382.16,3481.47,2793.34
Rpl10-ps3,7188.99,11137.37,11658.76,2667.94,2095.59,2384.96,8568.56,7131.42,6440.17
Fzd9,6345,10098,7095,2,0,7,767,617,687
Ppic,7316,11404,6667,469,305,412,3534,2482,2855
Ltbp4,4951.95,9362.25,13530,1221,921,1116,1515,724,1576
Bicc1,5299,8050.87,13050,52,45,61,1553.75,406.73,801
Timp2,6831,9867,11234,618,444,576,3566,5717,5268
Rps27a,8841.21,11573.97,8998.67,969.62,778.09,909.7,5795.11,4703.46,4936.75
Prelp,8510,12661,15008,3604,2680,2973,1660,1889,1348
Gm9843,8554.07,11036.37,11834.29,1662.4,1104.83,1463,6003.74,5073.76,4537.08
Crispld2,5224,7781,14571,118,77,125,181,14,156
1520401A03Rik,6234,16685,4520,3,3,1,58,14,313
3110079O15Rik,7131,11807,8978,0,0,0,8705,7664,3977
Rps23-ps1,7884.26,11141.12,11345.42,838.92,609.46,725.67,4332.28,3729.64,3539.2
Plac9b,2107.33,3881.43,23064.97,64.17,37.85,36.03,40.53,9.91,18.97
Itm2c,9071,15104,8158,882,670,909,2391,2545,2659
Rps19,10200.14,14330.87,14477.74,3289.22,2453.86,2955.5,7552.88,5753.06,5719.03
Igfbp7,10381.99,12483.99,22819,5238,3699,4691.98,2430.52,781.78,1820.74
S100a6,10040,11516,13101,576,405,510,3849,2156,2038
Frzb,10786,18660,4341,12,10,14,10744,4101,7015
Rpl19,11222.29,14777.84,15415.67,2895.17,1965.36,2695.88,8501.32,8064.28,7681.72
Mmp2,7587,10097,17337,405,304,406,4368,1916,3162
Penk,13886.93,12428.91,8522.97,54,45,52,587.99,311,1141.99
Mfap4,6032,10762,18924,17,14,13,411,163,381.5
Sdc4,9917.91,15967,11031,512,320.25,385,6154,2661,11189
Igfbp5,10289,11894,15237,568,444,471,1242,637,1805
Fxyd6,9116,14136,13491,13,19,11,1085,173,345
Rpl32,11060.71,16277.98,15364.99,1798.07,1277,1552,7679.96,5689.91,5627
Rps14,10727.51,12936.78,19267.53,1656,1277,1547,8653.18,6211.08,6469.53
1500015O10Rik,11117,18401,10759,10,3,4,645,681,844
Gm15427,10494.49,17345.78,17585.83,1490.85,1079.68,1549.2,3050.82,2471.63,2063.69
Rpl37a,11488.76,19530.02,16763.49,2259.6,1630.15,2013.81,3913.79,3247.95,2893.28
Rpsa,11654.35,16152.03,20210.01,2096.37,1621.54,2296.03,7253.85,6270.66,9641.19
Rps27,14709.31,20157.39,13334.17,1289.19,925.14,1198.07,3411.54,2575.84,2565.45
Il11ra1,10591.9,15270.75,21142.01,712,523.92,700.18,1068.88,723.66,1036.51
Clu,11368,18807,18700,1033,744,942,4279,288,1096
Wfdc2,7778,12625,27293,0,0,1,193,14,18
Serpinf1,10875,13916,28859,2251,1616,2049,3868,823,5511
Cilp2,10148,10333,27882,0,1,1,581,65,427
Fxyd3,14795.05,24225.15,10097.52,0,2,0,1841.73,431.99,769.86
Fstl1,12803.24,17604.1,21792.07,1062.74,818.4,972.48,2016.9,963.05,2429.97
Rpl13a,13399.85,20077.14,22013.43,2181,1560,2052.69,15140.38,9857.71,10204.6
Csrp1,15856,27860,12070,2264,1577,2140,1165,896,667
Mia,15046.46,21046.3,14315.59,2,0,0,2133.64,2130.47,2222.39
Rpl41,18657.99,23300.64,18971.45,4004.59,2866.78,3388.16,8668.37,6486,5513.47
Oaz1,23439.84,33640.01,29024.19,9406.07,6699.07,9207,5067.91,6606,5475
Col3a1,19201,25562,35111,7034.85,5400,6197.95,28728,9485,23930
G0s2,18992,32344,27568,5748,4003,5175,1047,180,1478
Gm42418,17384.48,16429.6,33578.6,719.1,554.49,694.02,24798.27,3697.04,1359.57
Rpl18a,17183.52,25542.48,32954.67,3209.83,2243,2898.8,6360.83,4197.14,3805.31
Cd9,20026.63,31789.26,16353.55,244.4,179,218.09,8043.79,4444.32,5172.84
Abi3bp,20264,26688,25788,112,81,78,333,83,196
Rplp1,21573.51,30154.29,32064.41,2720.9,1888.96,2534.13,16157.29,11560.89,12082.51
Gm37376,45426.94,58938.79,12104.47,12836.68,9541.24,11046.14,256.93,106.96,95.7
Rpl13,20597.85,32544.03,38665.06,3276.6,2226.18,2824.43,7330.32,5728.32,5552.94
Pam,24450.42,38051.98,32017.52,1230.41,850.57,1180.77,6597.07,6078.76,6606.83
Mfge8,32555,37349,43853,5516,3996,5097,11371,12078,5903
Myoc,24491.97,46355.97,33192,8,3,0,41,55,126
Timp3,37214.58,52668.99,37138.48,2718.16,1976.58,2308.58,16274.76,2410.82,8764.51
Ctgf,37348.66,41547.2,42197.18,50.89,30,46,31884.4,10308.05,8681.39
Vim,35286,59972,49093,8528,6083,8272,19833,29216,38445
Chad,25669,41648,61153,0,0,0,7771,5535,8849
Rn7s1,44744.14,49546.57,57145.11,8004.85,5839.67,6510.57,436.58,28,16
Rn7s2,44744.14,49546.57,57145.11,8004.85,5839.67,6510.57,436.58,28,16
Mgp,27762,44786,73315,123,88,114,29593,7346,5566
Smoc2,43081,75272,35364,329,249,296,11266,5093,11728
S100a4,51532,56825,60028,80,59,82,670,822,2130.65
Rplp0,47128.84,68886.08,84216.52,6171.8,4404.14,5755.28,25312.75,16624.56,19551.84
Angptl7,65678.25,53650.83,81082.03,1,1,4,7,11,9
Wif1,70001,117036,34112,4,6,5,592,294,500
Fmod,77253,99181,89592,21,15,20,8287,3881,12504
Dcn,61114,95933,137164,3770,2743,3111,6152,994,6876
Eln,83415.62,163326.83,56233.01,155,116,191,5876.91,327,5914.01
Bgn,110535.79,160503.5,127039.99,600,409,488,48695,15595,42670
Apoe,176409,309788,157163,68734,49972,66994,6592,46181,17979
Cytl1,164489,203436,194566,13,3,11,562,844,575
Col1a1,165558,176581.83,272911,3157,2370,2723,135382,51057,72815
Col1a2,166866.08,205609.8,275914,2051,1423,1712,81516.25,30733.05,49924.01
Cst3,228284,333085,205778,9220,6826,8981,8911,7698,8451
Col8a1,310002.2,397758.5,275605,107,72,94,427,113,334
Sparc,1668863.56,2254391.97,1229860.76,34546.67,24362.28,32188.46,281416.31,86884.01,246307.34
