Gene_Name,D33_1,D33_2,D33_3,AD_1,AD_2,AD_3,rib1,rib2,rib3
Pam,24450.42,38051.98,32017.52,1230.41,850.57,1180.77,6597.07,6078.76,6606.83
Rnf180,69,100,77,9,4,8,17,36,74
Pkd1,2660.52,3193.42,2983.89,338.34,225.53,243.45,1625.99,1405.7,1851.06
Rpl13a,13399.85,20077.14,22013.43,2181,1560,2052.69,15140.38,9857.71,10204.6
Fam198a,84.38,89.08,134,5,2.02,3,25,13,23
Naaladl2,48.92,67.02,50,10,8,2,43,28,51.34
Rps23,2963.42,4336.07,3405.29,339.31,247.68,318.75,2039.86,1815.54,1748.88
Mapk4,48,77,55,3,2,0,5,5,21
Gm17552,36.74,54.69,30.9,1.14,3.07,0,7.93,7.33,10.93
Tmem119,1033,1627,3467,124,113,130,1077,603,614
Ackr4,111.28,134.89,215,4.01,5.3,8.01,74.89,27.75,6.82
Gm8430,3107.39,3890.34,2426.2,217.82,57.1,196.58,1411.39,869.5,700.58
Lyst,16,23,15,90,100,105,430,630,807
Cxcl14,570,693,846,65,47,49,436,41,543
Elovl4,38,52,46,9,3,2,41,15,33
F10,7.95,3.75,0,26.18,16.45,26.08,108.63,175.57,159.51
Rab8b,48.45,34.72,29.19,228.18,161.15,187.18,584,1386.71,1762.22
Irs1,80.75,162.98,65.11,540.95,432.37,457.75,2998.29,1935.26,4336.78
AA386476,23.31,26.46,8,2.06,1.04,1,7,13.03,7
Krt8,279,658,415,19,13,16,228,41,51
Gm16201,21,29.44,39.79,3,2,3,13.73,16.09,24.15
Ipo7,20,54,18,216,162,166,968,971,1732
Gm26559,10.84,20.17,4.1,1.11,0,1.04,5.24,5.34,3.96
Marcks,95,138.38,95,670,504,520,3283,4508,3819
Tmem25,21,33,39,3,1,4,32,15,8
Ier3,80,76,69,574,399,521,2854,985,6454
Rpl35a,4692.6,5759.69,4138.56,344.91,292.18,337.56,2349.46,1907.72,2459.45
Cap1,122,77.23,247,1088.92,813,899.95,4260,8722.95,6338.92
Gm13622,16.04,17.9,3.17,1.05,0,1.06,4.67,6.46,3.56
Rps28,3923.87,5783.05,4474.9,490.98,311.12,409.08,3531.68,2629.79,2313.04
Tnfrsf19,83,124,134,11,9,5,65,61,49
Srcin1,50,54,28,1,1,1,12,7,2
Enkur,13,22,11,1,1,0,7,3,4
Lrmp,7,10,3,30,39,39,98,382.97,282
Plekhb2,39.79,41.62,31.09,232.33,151.95,189.14,714.58,1617.43,1754.66
Dixdc1,624.48,890.01,458.3,85,56,59,568,488,376
Gm15706,43,72,50,3,2,5,19,32,21
Nos1ap,143.42,156.17,99,16,12,14,178.31,55.31,69.4
Cers6,5,19,3,62,58,75,305,449,661
Qpct,4.01,1,11,54,30,27,147,298,369
Adam19,4.35,6.17,8,49,35.01,46.06,166,422,372
Aspn,4342,4689,2867,108,72,98,1097,180,793
Ppic,7316,11404,6667,469,305,412,3534,2482,2855
Mdfic,18,32,33,186,150,174,730,1230,1881
Glipr1,455.49,463.04,92.36,22.28,22.32,34.7,161.34,265.45,171.49
Gm26981,25.29,30.25,8.56,1.26,2.15,2.21,24.58,9.56,8.44
Gm10163,4973.19,4867.84,5720.71,395.16,193.81,270.29,3132.95,1679.01,1810
Smim5,411,538,338,32,18,37,130,457,85
Crlf3,1084.53,2189.89,871.99,139.93,90,113.8,994.56,842.59,826.58
Renbp,18,18,31,155,103,136,321,1769,1016
Gm6069,20.58,18.34,15.29,1,0,0,3,3,1.99
Sdc1,1818,2573,3568,198,141,215,2318,878,1239
Bend5,38,59,82,7,5,1,55,18,33
Gal3st4,25.72,55.41,65,3,1.57,0,9.9,15.47,12.08
9330182L06Rik,80,91,87,2,2,0,11,7,15
Tcea3,164,271,364,7,4,6,58,6,77
Lst1,3,2,4,29,19,21,78,337,158
Rpl39l,13,29,11,1,1,1,4,11,10
Fosl1,1,2,2,13,10,12,113,39,140
Emp3,1873,2677,5032,189,134,207,882,2037,1560
RP23-16J4.3,12.74,19.39,8.63,0,0,1.3,6,3,2.01
Mmp2,7587,10097,17337,405,304,406,4368,1916,3162
Tjp1,27,57,32,233,186,184,2936,831,1372
Zfp575,22.11,19.46,48.44,0,3.06,1.05,15.58,8.17,11.35
Timp2,6831,9867,11234,618,444,576,3566,5717,5268
Rpl34,4099.52,2944.35,2678.14,219.81,160.72,205.65,1971.02,1434.45,1802.58
Slc2a9,0,1,2,10,5,9,25,110,80
Atp8a2,76,114,182,3,1,1,19,11,15
Fzd10,14,24,9,1,1,0,9,4,5
Cnnm1,15,19,6,1,0,0,6,0,3
Derl3,2,6,4,34,32,32,547,204,133
Fblim1,7.11,9.05,9.02,101.07,52,76.05,280,683,1162
Irf5,11,8,12.13,123,71,92.31,384,1407.73,877.88
Rhbdf2,13,15,15,139,105,149,1061,1078,1538
Dkk2,28.12,23,67,2,0,0,4.72,12,2
Gm37022,76.67,71.24,18.66,2.8,1.67,2.1,31.16,17.05,13.76
Fcer1g,27,20,29,254,188,227,810,3343,2247
Zfhx4,807,1068,728,34,20,46,355,229,376
BB187690,55.85,83.88,10.89,0,2.59,5.15,29.7,24.44,20.59
Tnfrsf9,2,1,0,12,7,5,135,27,70
Trpc3,2,1,2,11,5,12,146,36,89
2610524H06Rik,283.92,318.72,220.03,20.2,10,26.01,167.87,151.66,224.81
Cmtm7,665.74,965.72,1059.61,73,53,62,439.19,754.05,635.55
Flywch2,118,124,186,15,9,10,169,99,67
Npnt,151,269,351,17,8,13,150,140,87
Efnb3,19,26,31,1,2,1,27,4,9
Gm43852,12,14,5,1,0,0,1,4,5
Enc1,11,18,12,166,103,118,1578,1585,720
Myh9,132.51,160.57,160,884.04,658.17,788.89,9190.74,6632.43,7631.77
Lpxn,7,7,3,43,23,28,75,513,360
Laptm5,48,45,61,475,347,431,1479,5720,5438
Scara3,6071,9214,6411,107,78,87,1531,302,913
Cox4i2,637,1189,786,32,39,40,538,138,454
Cdk5r1,0,1,1,4,3,4,44,34,34
Pcdhb15,9,15,17,1,1,0,8,3,9.49
Fmnl1,12,7,11,106,56,62,279,1059.89,964
Spock2,288.62,396.5,452.23,12.77,15.1,7.07,226.91,41.51,90.81
Traf1,1,4,6,20,16,43,204,149.01,476
Kif2c,2,1,1,10,8,2.28,49.64,69.85,93.89
Fam111a,11,14,5,76,53,53,274,768,877
Sfrp1,257.15,425.6,269,16.65,14,25,190,148,253
Exph5,23.23,25.26,13.39,0,0,1.12,5.51,2.64,4
Enho,429,677,643,31,20,15,319,197,204
Gm43352,18.2,16.88,3.65,1,0,0,3.14,6.3,1.62
Pcp4l1,19,85,65,3,1,3,6,45,27
Dcaf12l1,72,151.97,102,8,8,5,101.67,47.59,85.01
Erbb3,0,2,0,6,4,8,88,62,51
Maff,1,4,6,36,32,25,403,166,470
Fbn1,3082.95,3891.65,3235.92,213,152,157,1912.18,661.25,3298.55
Nod2,1,1.86,2,17,7,8,64.97,104.15,195.93
Srrm3,10.29,21.17,4.5,0,0,1.16,7.08,3.32,2.99
C630043F03Rik,53,122,68,3,1,3,36,21,24
Ccdc60,25.78,16,26.41,1,2,0,15.9,12.98,6.2
Bambi,1149,2052.72,1307,87,86,79,1064,1030,878
RP24-360F21.2,11,16.02,15,0,0,1,9,1,2
Slc24a4,31,35,34,0,0,1,4,0,8
Dusp15,112,150,105,8,4,11,92,62,123
Fam171b,116,177,217,11,6,7,160,74,62
Gm16835,15.28,21.02,10,2,0,0,6.04,10.67,8.24
Epn3,72,133,133,0,5,3,51,14,36
Abca8b,1,1,3,30.1,9.05,10.07,203,258.48,174.27
Shisa2,843,1310,1519,9,6,12,146,116,91
Clec4a2,5,5.55,0,34,32.04,31.47,157.7,624.72,507.99
Slc14a1,1,1,1,15,8,14,170,211,110
AI118078,27,41,28,1,2,0,4,13,23
Fap,539.08,885.06,585,46,33,24,552.07,293.14,541.1
Fgd6,4,5,1,25,30,34,382,301,527
S100b,5289,8781,4568,81,53,61,872,757,1023
Evi2b,2.27,2.09,0.25,24.28,17.95,16.32,83.38,354.97,358.2
Cmpk2,8,14,18,103,59,92,468,1547,1471
Gm11478,7.14,12.86,10.43,0,0,1.31,4.48,7.28,6.38
Ankrd35,75,110,102,5,4,5,92,44,59
Ntng1,17,22,33,0,0,2,8,5,15
Adamtsl3,514,801,406,7,7,8,101,43,168
Pik3cg,0,3,5,37,25,20,125,482,556
Gng8,18,54,63,0,3,2,36,14,21
Iqgap2,4,4,2,32,28,30,148,611,521
Cd14,14,17,24,276,198,259,2060,2670,5901
Lat2,8.33,6.43,9.44,34.51,44.42,40.87,165.4,680.27,907.54
Pf4,30,23,51,289,197,254,970,7021,2884
Bst2,2,16,10,160,99,156,1611,3583,984
Naip2,2.19,1,1,29.27,16.01,13.58,112.86,467.39,298.12
St8sia2,34,26,22,1,1,0,19,4,7
Adamts17,97.57,153.47,159.06,1,4,1,35,17.42,38
Snx20,3,1,5,13,16,22,84,365,320
Rnf150,5.03,3.54,0,44.09,20.39,30,380.01,417,636
Gm42418,17384.48,16429.6,33578.6,719.1,554.49,694.02,24798.27,3697.04,1359.57
Amhr2,78,115,64,2,1,1,33,14,15
Col4a6,2,0,0,3,3,5,42,79,50
mt-Nd4l,41.88,42.44,0,154.51,362.99,80.84,1870,4881.74,2596.97
Rab11fip1,1.07,3.35,1.01,22.35,15.31,23.96,371.7,198.31,399.53
Gpsm3,1,4,2,24.4,16.38,22.95,203.53,499.25,306.28
Hmga2,5.5,3,2.17,23.17,12.91,19.11,280.52,347.47,247.3
Wfikkn2,38.79,101.15,64.07,3,0,1,18.92,21.43,24.02
Trem2,17,17,16,104,86,111,403,2784,1659
Gm9888,9.26,9.28,18.39,1,0,0,5.81,6.95,3.45
Fjx1,89,174,120,6,5,5,85,64,111
Gm20636,12,11.41,13,1,0,0,8.87,3.24,4.24
Helz2,13,10,10,99,74,91,1452,1649,1227
Rassf4,7,9,11,105,77,113,670,2100,2067
Sdc4,9917.91,15967,11031,512,320.25,385,6154,2661,11189
Gm12184,154.36,102.53,70.36,0,0,7.19,18.26,21.49,79.49
Dhrs9,1,0,3,9,11,2,87.99,70,207
Ifitm10,264,363.64,408,5,6,9,136.18,39.34,157.35
Tekt2,31,30,31,1,1,2,26,24,16.68
Irf7,14,16,18,121,78,119,1496,3228,618
Csf2rb2,12.4,9.66,3.6,78.86,64.38,76.41,464.96,2051.72,1180.91
Synpo,2609,3433,2693,127,69,108,2071,1452,1627
Lgr5,41.09,80.54,66.36,0,1,4.54,53.48,21.65,19.11
Pthlh,26,33,21,2,0,1,27,4,21
Plxnd1,17,30,30,266,204,318,2283,5905,5485
Bicc1,5299,8050.87,13050,52,45,61,1553.75,406.73,801
Bfsp1,37,49,37,2,0,2,30,25,15
Slfn10-ps,0,1,1.3,8.04,12.36,4,42.07,164.75,223.09
Tnfaip3,18,23,36,160,101,121,528,1068,5138
Ccl5,1,6,1,39,33,28,542,480,746
Inpp5d,5.95,4.86,4,82.15,79.1,66.4,386.02,2053.08,1604.13
Ctss,32,32,28,508,413,484,2745,12414,10074
Tbc1d9,2,6,2,35.94,18.04,31.38,197.88,652.82,694.98
Nrep,4491.23,9813.83,6057.72,130,101.1,118,1797,1446,3098
Arhgap30,17.03,13.52,0.96,52,50,59,349.99,1614.04,962.02
Cd33,4.14,8.13,3,21.19,20.11,35.21,263.99,422.5,711.11
Gm17167,271.23,445.68,90.6,9.07,3.03,11.94,224.24,124.17,100.14
Mndal,2.3,2,4.61,32.24,21.64,24.96,205.41,785.04,484.02
Sh3rf3,25,37,49,1,2,0,22,2,33
Mog,19,24,11,0,0,1,3,6,10
Slc7a8,9.22,10.16,9,112,79,96,589,2811,2059
Hpse,7,10,8,39,37,45,1102,746,457
Tnfsf13os,17,13,8,0,0,1,5.22,2,12
Nlrc4,0,0,2,5,6,10,55,193,162
Hmha1,4,5,9,80,55,96,531,2572,1485
Cpxm2,931,924,1507.72,19,11,15,432.25,144,319.11
Cds1,1,6,2,44,18,31,888,631,334
Fam19a5,853,1386,1181,4,5,4,95,61,104
Tec,2,2,5,19,18,19,149,541,432
Cd68,31,24,33,340,235,359,1831,9614,7348
Psd4,2,9,1,37,9,24,160,650,611
Ms4a6b,4,1,2,41.54,33.57,30.39,266.67,1377.31,499.76
Dnah2,22,35,27,1,1,1,17,38,7
Gm15867,27,44.74,47.87,1,0,1,15.71,15.78,9.92
Ms4a4a,4,0,3,27,19,15,151,803,310
Adamts14,653.18,899.1,350,12,7,10,244,237,127
Pik3r5,10.61,3,2.01,80.03,55,54.82,389.02,1738.95,1867
Etnk2,120,147,162,1,2,3,50,38,39
F630028O10Rik,1,0,0,4,1,8,83,109.42,83
Myo1g,3,3,5,36,29,33,207,1095,807
Cnr1,8,6,3,27,32,29,711,927,257
Rsg1,14.11,17.12,6,0,1.02,0,8,6,8
Mast1,26.57,38.3,16.43,0,0,0.78,10.34,5.01,1.72
Cd4,1,1.85,0,13,6,11,71,292,296
Cpm,814.51,986.15,773.02,33,25,16.01,821.34,141,664.39
Ism1,94,98,104,1,2,4,75,6,75
Nipal2,64,100,61,4,3,0,62,62,32
B430306N03Rik,4.44,4.44,0,32.46,9.03,22.96,191.61,847.44,403.71
Arhgap19,3.05,10.88,4,41.12,37.02,35.01,137,1605,793.03
Ifi204,12.05,22.09,4.28,80.5,57.3,68.05,844.64,2509.22,1322.57
Ifit1,2,9.48,4,49.94,42.7,42.94,435.98,1534.75,1118.65
Camk4,369.08,416.97,331.36,5.14,5.16,11.82,144.69,161.33,201.21
Thy1,70,84,166,3,1,1,44,15,56
Fam83f,0,1,0,3,3,3,29,141,40
Cd200r1,0,3,1,20.74,11,24,133.96,636.35,538.58
Slc7a7,7,6.04,6,41.16,29.17,36.14,399.67,1195.03,905.88
Arl11,3,0,1,18,13,16,102,588,423
Gm5431,0,1.05,0,9.49,3.21,11.26,82.18,348.67,138.69
Inhba,153,164,218,4,3,1,84,15,94
Adgrb2,87,91,150,1,2,6,131,27,61
Zdhhc14,1,2,2,13,12,15,84,585,328
Vstm5,35,51,37,0,3,0,45,10,20
Igsf6,4,5,6,48,34.06,58,460,1812,1261
Cd84,6,13,3,60.82,67.78,74,488.63,2654.63,2012.72
Ager,35,42,43,0,0,2,24,17,11
Spink5,11,26,8,0,0,1,4,6,16
Ms4a6c,2.38,7.03,1,46.39,28.3,36.14,440.21,1731.36,718.71
Eln,83415.62,163326.83,56233.01,155,116,191,5876.91,327,5914.01
Syk,3,3,5,101,74,80,780,2996,2922
Pdgfrl,1997.04,2247.67,3102,20.06,15,20,548.06,383,529.45
Mnda,3.7,3,2.39,37.33,37.88,41.57,408.47,1514.34,1193.58
C3ar1,12,17,12,146,125,154,1054,5471,4847
Oas1a,2,2,8,32.97,23.45,37.98,426.91,1640.11,464.49
Isg15,1,2,2,32,32,30,706,1284,551
Hopx,38.85,49.8,63,2,0,2,34,32,43
Ncf1,6.45,7.87,8,63.05,55,67.39,844.61,2665.06,1581.38
Gm4724,149.36,192.46,125.65,0,1.66,4.25,21.65,38.09,102.7
Cd9,20026.63,31789.26,16353.55,244.4,179,218.09,8043.79,4444.32,5172.84
Parvb,8.34,6.34,0,42.08,28,31.27,255,1199,1354
Arhgef39,1,0,0,3,4,0,72,53,70
Veph1,66.86,78.46,26.84,1.01,0,1.01,20.79,20.81,15.14
Slfn2,2,4,4,93,48,56,673.7,2665.78,2201.76
Oscar,0,1,0,1,2,4,25,25,148
Aoah,0,1.01,1,7,6,12,117,373,218
Kif18b,0,1,0,3,3,1,59,59,82
Tlr13,1,4,0,39,33,28,255,1332,1333
Plek,8,8.2,8,127,89.27,114.04,735.99,2624.56,6392.24
Reck,1584,2285,1506,37,19,33,1089,589,1016
D630045J12Rik,627.57,735.33,317.04,10.03,9.55,9.01,403.2,143.32,326.36
Map7d2,24,40,8,0,0,1,11,2,18
Slmapos2,4,3,0,76,40.01,59,2833.18,661.69,1962.01
Lrrc25,2,1,3,20,5,27,191,767,667
Col1a2,166866.08,205609.8,275914,2051,1423,1712,81516.25,30733.05,49924.01
Glis2,607,701.03,1132.06,13,5,17,481,348,266
AF251705,1,3,1,20,15.44,25.88,124.68,1042.84,756.09
Col1a1,165558,176581.83,272911,3157,2370,2723,135382,51057,72815
C1qtnf4,237,402,633,3,4,4,173,54,119
Ms4a6d,4,4,1,83.04,60.04,47.61,853.6,3041.56,2164.81
Dpysl4,232,334,298,2,1,0,67,21,8
Smoc2,43081,75272,35364,329,249,296,11266,5093,11728
Ptgis,2898,3810,5538,71,54.5,68,3479.98,1470,1292.98
Gm11711,0.5,0,0,1.21,1,1.28,32.16,45.9,36.65
Slc1a2,30.5,36.83,41.02,0,0,2,14.02,28.93,23
Plcl2,1,2,4,24,15,20,501,894,567
Sytl2,0,0,1,7,6,12,306,290,242
Nckap1l,6,8,4,123,81,97,1056,4613,4487
Il7r,1,0,1,11.02,8,9.14,110,422,420
Adh7,49,35,56,1,0,1,14,33,23
Vav1,2,2,5,38,22,35,350,1852,1195
Gm12394,35.79,30.36,11.08,0,1,0,22.48,10.52,2.9
A530064D06Rik,2,0,0,10.13,5.94,2,94.25,362.04,197.2
Prrx2,153,189,281,5,2,3,147,67,154
Tnnc2,14.89,44.88,187,0.34,2,1,36.61,71,16.69
Fxyd6,9116,14136,13491,13,19,11,1085,173,345
Anpep,2,8,10,66,54,66,925,3607,2600
Gbgt1,0,0,1,2,3,5,59,192,133
Cxadr,3,4,4,21,21,33,1909,183,869
Bub1,0,1,0,2,3,5,84,98,213
Mx2,0,1,0,5,7,10,361.95,289.04,223.56
Oas2,2,0,0,22,17,24,499,1546,468
Cfap70,31,67,40,2,0,0,30,16,34
Dab1,62,104.46,56,0,0,1,19,2,20
Caskin1,42,45,47,0,1,0,21,11,9.21
Gm42788,41.99,61.04,42.04,0,0.01,1.3,30.36,5.08,18.78
Scx,74,70,154,2,1,0,67,29,30
Tbx15,139.69,199.67,144,0,0,1,21,2,19
Stab1,28.33,38.59,41.35,318.63,198.45,255.75,1551.03,19306.68,11685.03
Kcnc3,0,0,1,4,1,3,115,52,174
Disp1,70,126,114,33,20,40,1409,1811,844
Smim3,841,1177,1133,10,5,6,284,207,428
Coch,12,50,25,0,0,1,21,20,3
Kcna2,143.25,204.83,104.15,3.02,1,1.04,80.03,8,139.25
Ramp1,361,617,557,10,7,5,351,227,413
Bmp6,13,11,11,66,50,55,3537,2374,1933
Il11ra2,644.69,846.09,1093.81,0,4.08,0,116.45,44.16,29.07
Slc45a3,11,13,11,4,2,3.41,80.55,148.25,212.97
Peg10,2,4,4,23,19,24,706,979,1432
Sertad4,411,488.26,340.13,3,5,2,161.29,180.22,145.08
Ccdc88b,0,0,1,13,7,20,380,916,666
Ms4a7,8.43,3.17,5,45,27,43,572.99,3211.66,1863.99
S100a8,0,2,1,16,6,10,921,187,469
Slc37a2,11,9,10,88,64,62,1071,4367,5391
Dpysl5,52,94,104,1,0,0,29,8,14
Lilrb4a,9.62,3.77,5,67.05,56.25,62.63,1111.13,4267.1,4155.72
A530017D24Rik,5.01,6,2,1.49,0,2,52.1,62,65
Tceal3,158.87,202.01,226.16,5,2,0,157.38,58.67,155.98
Gm13301,46.65,100.12,32.54,0,0,1,44.82,5.29,4.16
Mki67,4,1,0,17,14,19,515,602,1607
Neurl1a,11,21,25,4,5,4,292,281,137
Klc3,69.02,104.14,105.13,3.06,0,0,87.15,18.97,63.09
F5,0,0,2,23.69,17,12,1467,851,604
Dync1i1,121,199,176,2,0,0,31,26,54
Ly9,0,0,1,19,4,8,195,998,528
Ndp,335,471,365,0,0,1,17,0,40
Fcgr1,0,1,3,17,15,21,487,1952,592
Ntn4,12,15.02,9,5,0,3,295,81,83
Lilr4b,3.38,1.23,6,53.95,38.75,39.37,942.87,3061.9,3622.28
Alpl,6,6,11,107,64,109,7559,4235,4410
Mapk13,83,117,142,2,0,0,85,12,23
Fzd8,21,30,32,6,9,5,422,518,293
Acsl6,89,130,51,0,0,1,43,5,15
Arg1,1,0,0,11,9,14,734,882,528
Kcnma1,341,459,280,6,2,3,219,182,315
Slc35f1,0,0,1,1,1,4,188.03,90.09,118.08
Enah,201.12,240.94,115.41,51.25,46.96,38.13,4179.65,2312.77,2817.01
Notum,78.64,133.95,58,0,0,2,45.64,59.88,36.83
Lrrc75b,458.11,669.88,529,6,1,1.04,184.32,136.86,253.24
Bgn,110535.79,160503.5,127039.99,600,409,488,48695,15595,42670
