Gene_Name,D33_1,D33_2,D33_3,AD_1,AD_2,AD_3,rib1,rib2,rib3
AC099934.1,753.04,1045.45,599.2,107.78,57.07,146.88,2.1,0,0
Col8a1,310002.2,397758.5,275605,107,72,94,427,113,334
Gm12411,888.54,1142.64,881.18,77.73,71.88,123.02,0,3.54,0
Gm23935,170.52,315.56,387.67,18.63,13.67,12.28,1,0,0.33
Gm24270,170.52,315.56,387.67,18.63,13.67,12.28,1,0,0.33
Gm24245,170.52,315.56,387.67,18.63,13.67,12.28,1,0,0.33
Fam107a,270.82,249.88,102.06,11,4,16,0,0,1
Gm25732,106,216,259,13,15,20,1,0,0
Gm525,119,276,670,25,25,21,1,1,0
Gm9800,1995.98,3046.6,2467.27,302.82,235.31,334.31,0,0,14.96
Myoc,24491.97,46355.97,33192,8,3,0,41,55,126
Rpl10-ps6,60.74,84.42,50.93,9.62,4.81,0,0,0,0.42
Plac9b,2107.33,3881.43,23064.97,64.17,37.85,36.03,40.53,9.91,18.97
Cyp26a1,789,1197,3763,1,3,4,7,6,1
Gm10076,3131.09,4059.02,3612.84,877.21,644.4,915.89,6.63,0,20.24
Gm11942,311.75,887.74,1374.92,37.9,31,19.52,5.03,1.49,0
Fam181b,92.2,130,142,37,27,23,0,1,0
Gm23632,297.1,374.77,86.51,42.55,27.73,40.02,2.27,0,0
Rn7s1,44744.14,49546.57,57145.11,8004.85,5839.67,6510.57,436.58,28,16
Rn7s2,44744.14,49546.57,57145.11,8004.85,5839.67,6510.57,436.58,28,16
Gm42899,99.97,170.71,33,13.02,12,12.99,1,0,0
Cytl1,164489,203436,194566,13,3,11,562,844,575
Rps3a3,2273.52,11.63,2193.67,1.55,0,2.65,9.25,4.97,2.87
Faim2,134.44,261.62,383,12,13.04,12.07,1,0,2
Gm37376,45426.94,58938.79,12104.47,12836.68,9541.24,11046.14,256.93,106.96,95.7
Gm9780,1270.48,2537.29,13930.62,36.63,14.78,37.03,31.65,14.97,29.03
Mab21l2,216.12,331.55,385.46,2,1,3,2,2,0
Gm26318,98.51,152.2,7.52,2.07,1.65,11.12,1.19,0,0
Gm5148,171.23,221.09,202.05,9.16,11.79,9.42,0,0,2.75
Igfbp2,2077,2444,6620,5,2,1,32,9,16
Itgbl1,3153,3307,5242,14,5,6,35,7,19
Gm10020,1668.37,1642.51,519,1.75,6.71,7.17,5.99,14.05,0
Gm22002,487.88,656.4,60.49,28.93,14.36,37.5,4.81,0,2.04
Gm26141,51.45,69.78,6.57,1.97,2.66,3.51,0,0.75,0
Gm12715,494.62,469.86,569.78,67.29,26.27,94.11,0,9.05,0
Gm15725,1490.37,1773.22,1691.16,316.43,216.49,355.83,0,0,31.03
Wif1,70001,117036,34112,4,6,5,592,294,500
Apod,4046.65,5294.11,8492.33,15,12,6,83,17,14
Gm10491,111.44,177.71,10.8,8.7,2.36,25.21,1,0,1
Paqr6,527.01,763.79,666.56,5,1,7,6.41,5,3
Gm27956,786.82,961.49,88.05,18.73,17.81,15.47,1.5,8.88,4.79
Abi3bp,20264,26688,25788,112,81,78,333,83,196
AL589742.2,42.8,79.91,38.03,2.99,0,0,0,0,1.45
Kcnc4,104,154,172,2,1,0,4,0,0
Aqp5,123,148,249,1,3,4,1,1,3
Gm25640,79.87,105.31,17.36,6.55,4.67,11.87,1.99,0,0
Gm28017,1916.03,2277.92,330.26,134.65,48.71,120.62,23.3,12.75,9.09
Gm27754,397.08,505.85,68.6,13.34,16.98,28.08,5.92,2.19,1.68
Aldh3a1,127,220,520,0,0,1,3,0,6
Gm12088,62.82,124.35,22.12,11.03,3.17,9.58,1.28,0.9,0
Slurp1,32,16,45,1,0,0,1,0,0
Gm26269,404.67,500.36,60.04,0,27.95,29.05,0,9.09,1.67
Gm10073,1251.2,735,791.73,257.96,194.81,246.35,10.67,15.53,5.39
Angpt4,340,488,308,10,10,5,4,4,5
Gm16195,62.8,63.96,6,1.09,0,0.73,0.77,0,0.79
Msx1,1577,2506,3172,37,27,16,47,19,22
Gm20430,13.2,10.82,7.07,0,3.77,1.82,0,0.39,0
Gm11032,190.1,242.13,35.22,14.66,11.48,12.5,2.39,3.48,0
Crispld2,5224,7781,14571,118,77,125,181,14,156
Gm4617,1359.03,2148.76,1769.5,166.43,123.45,154.11,33.18,29.55,7.33
1520401A03Rik,6234,16685,4520,3,3,1,58,14,313
Gm9964,989.05,1181.91,180.05,20.8,6.08,49.86,17.41,12.38,4.84
Gm12929,24.45,34.54,8.52,0,1.22,0,0,1,0
Platr1,17.1,31.08,4.44,0,2.99,3.76,0,0,0.79
Folr1,75,127,56,8,3,6,2,1,1
Dkk3,3961,5959,7000,14,23,21,131,46,93
Gm22411,242.81,316.37,38.2,7.79,0.09,7.59,5.62,0,4.28
Gm22906,250.3,312.13,55.34,21.02,17.94,18.89,8.07,1.22,1.19
Gm22395,25.59,26.53,4.62,2.1,0,0,1,0,0
Gm6625,37.2,84.58,103.15,11.95,8.01,7.01,1,2,1
Ehf,12.16,26.01,18,0,1,0,0,1,0
Plac9a,40.19,91.29,365.41,1.2,28.37,26.94,5.83,3.12,0
Gm25190,600.7,812.25,108.03,62.64,31.29,57.88,12.59,10.03,5.49
Azgp1,260.51,291.87,145.01,2,0,3,0,1,12
C130075A20Rik,27,57,23,7,2,8,2,0,0
Sec14l4,83.24,140.7,93,6.87,12,17.61,6,0,0
Gm10180,15.31,38.45,20.9,4.4,0.6,3.32,0,0,1.43
Gm3699,15.31,38.45,20.9,4.4,0.6,3.32,0,0,1.43
Gm10736,15.31,38.45,20.9,4.4,0.6,3.32,0,0,1.43
Tspan8,584,810,205,1,1,0,4,11,16
Gdf5,3160.52,6573.43,7373.7,108,64,87,223.25,50.17,59.01
Cldn19,9,28,13,2,0,0,1,0,0
Gm27826,707.13,910.48,148.32,66.52,55.1,88.41,17.92,10.51,7.44
Rp1,16,21,12,1,0,0,0,0,1
AB041806,77.59,104.67,21.86,3.81,3.35,0,0,0.61,3.57
Gm21917,849.85,926.58,238.75,38.9,23.68,14.77,22.8,8.82,10.17
2610011E03Rik,15,22,11,3,0,6,1,0,0
Sult1a1,149.96,166,131.96,3254.96,2428,3112,1,5,3.47
Gm42993,55,68,18,18,9,6,3,0,0
Gm22662,814.92,948.95,205.8,27.7,16.28,48.03,31.44,6.02,4.49
S100a4,51532,56825,60028,80,59,82,670,822,2130.65
Alx3,18,16,12,1,2,0,0,0,1
Trpc5,15.2,15.76,14,1,0,0.97,0,1,0
Gm25072,2942.3,3709.35,699.5,170.47,133.75,242.96,88.7,38.83,37.72
Gm16316,14,21,9,3,0,1,1,0,0
Gm27316,384.49,578.98,84.29,18.43,17.87,29.01,14.81,0,9.79
Cacna2d4,39.59,38.38,4.83,9.59,2.76,6.44,1,1,0
Gm43322,27.19,33.76,6.52,3.07,1.58,1.49,1.64,0,0
Gm13110,30,40,12,3,0,0,1,0,1
Gm26916,34.68,80.87,6.23,8.17,2.64,15.94,3,0,0
Gm13665,15.02,21.83,6.05,2.84,3.51,0,1.06,0,0
Gm27512,253.02,346.42,70.12,29.86,29.24,22.22,6.92,5.61,4.04
C1qtnf2,184,122,207,26,16,9,9,1,3
AA474408,686.24,672.67,499.87,168.99,102.45,157.18,25.13,11.06,11.39
Gm42972,15,16.01,8,2,0,5,0,0,1
Gm25197,1503.65,1898.3,257.81,101.42,73.18,145.01,46.77,39.53,9
Gm5812,21.73,45.94,26.01,9.55,0,0,0,2.44,0
Gm28010,702.1,938.44,133.61,25.09,54.15,67.04,19.71,19.37,7.18
Gm25735,954.51,1459.75,195.56,113.79,77.3,122.92,30.08,22.7,16.06
Mfap4,6032,10762,18924,17,14,13,411,163,381.5
Gm27857,559.44,1244.6,175.02,31.61,5.66,155.6,9.92,43.08,0
Ptprt,5,11.01,20,1.5,0.57,1,1,0,0
Gm26460,49.91,75.66,9.85,5.1,4.05,5.8,0.96,0,2.84
Prss12,181,199,528,22,18,22,5.81,10,10
Ces2e,7,17,11,2.07,0,0,1,0,0
Pitpnm3,498,678,390,3,7,9,39,4,2
Gm22692,218.57,342.43,51.97,41.6,0,0,9.57,0,8.16
Dmkn,53,112,75,4,6,3,6,1,0
Gm23638,1026.59,1036.47,196.25,137.42,48.09,76.07,45.85,0.23,19.98
Gm25574,157.05,230.19,24.62,7.37,6.18,10.37,6.21,1.54,4.41
Trpm3,56,52,24,3,3,1,2,0,2
1700019D03Rik,87,92,83,11,7,7,3,2,3
Gm13111,134,217,232,28,13,11,2,14,2
Gm22420,63.04,48.9,9.29,7.8,10.61,13.31,2.87,0,0.92
Gm25193,57.06,74.76,11.71,10.45,9.53,3.83,0.99,2.61,1.02
Gm22460,111.52,99.64,21.34,19.86,8.87,6.71,3.93,1.58,2.05
Cst3,228284,333085,205778,9220,6826,8981,8911,7698,8451
Fgf14,24,29,8,3,1,3,0,0,2
Gm12395,25,30,4,0,1,1,2,0,0
G0s2,18992,32344,27568,5748,4003,5175,1047,180,1478
RP23-434H14.7,9,17,3,62,41,50,1,0,0
Lhfp,3286.44,4892.78,5198.75,131.64,92.24,133.04,195,70.35,198.88
RP23-403E18.2,61.98,82.85,9.06,6.12,1.98,2.64,1.58,2.81,1
Bbox1,72,71,198,1,1,0,6,2,4
Galr2,423,1023,1194,1,2,1,45,17,32
Gm27896,1043.01,1377.4,171.53,101.01,66.6,99.03,45.9,18.54,28.35
Gm26619,64.79,97.55,115.19,6.02,8.07,0,2.29,3.91,3.75
Gm13717,14,30,11,0,1,3,2,0,0
Gm24809,169.75,216.35,44.86,14.63,18.44,22.7,9.93,2.92,3
Gm24081,87.97,77.6,15.06,5,5.55,3.38,0,1.1,5.55
Emx2os,47.3,48.53,20.24,8,3,6.03,1.87,2.41,0
Gm43192,26.24,39.7,16.31,0,0,1.24,2.05,1,0
Gm12052,60,87,94,0,1,0,5,4,0
Gm2694,71.27,98.81,14.88,5.56,2.21,3.4,3.27,3.64,0
Endou,108,159,107,27,28,39,5,6,3
Igsf1,84,142,38,1,3,4,5,4,1
RP23-446E21.6,15.01,18.68,12.11,0,1.13,3.51,0,0,1.75
Gm43751,10,14,2,1,1,1,1,0,0
Gm20471,10,14,2,2,1,2,1,0,0
Prss23os,322.32,392.73,1103.77,54.39,9.67,42.41,32.34,8.81,29.57
