count1.Gene_Name,LC1,LC2,LC3,ERST2,ERST3,DCT1,DCT2
Gm15662,82027.89,75198.58,82996.08,9812.36,11047.6,9186.08,8715.03
Cytl1,47488.02,45029.82,46478.66,16.84,16.47,3.31,3.42
Cst3,16320.59,18220.46,16242.19,1945.78,1777.95,926,948.22
Gm37376,15588.41,14383.82,17029.85,2871.29,3282.68,2443.78,2417.53
Gsn,8641.73,9983.33,8323.43,1212.15,1148.89,361.95,356.05
S100a4,6280.32,7403.08,6151.9,1059.14,828.99,138.12,141.79
Tcap,4736.45,5504.78,4543,116.12,99.72,256.29,256.63
Tnni2,4286.36,4887.96,4306.05,123.48,109.91,405.76,422.71
Fos,3648.3,4254.21,3664.69,23.29,22.98,35.45,36.48
Rn7s1,3377.1,3764.11,3256.33,172.46,148.02,351.39,368.03
Rn7s2,3377.1,3764.11,3256.33,172.46,148.02,351.39,368.03
Gm28017,3267.17,3198.99,3157.17,547.49,512.6,373.85,342.79
Gm23638,3092.95,3594.46,1657.54,0,56.77,857.81,80.03
Mb,2946.29,3325.62,2846,37.76,30.85,34.61,33.54
Gm25190,2737.87,2511.66,2445.77,219.1,78.68,66.28,60.49
Vim,2218.24,2538.75,2209.61,412.81,380.98,104.87,111.07
Atp2a1,2116.55,2236.57,2078.6,122.18,97.21,401.97,398.03
Wif1,2084.71,2065.27,2101.76,18.91,20.84,11.1,10.05
Chad,1875.83,2144.92,1876.67,3.47,4.26,0.04,0.16
Junb,1832.45,2054.23,1901.27,171.83,138.49,181.69,184.16
Myoc,1805.26,1917.71,1760.42,15.06,13.87,3.15,4.04
Mgp,1694.43,1858.19,1640.89,86.48,75.55,128.44,118.1
Penk,1676.86,1951.75,1695.04,33.38,36.21,18.25,17.07
Gm23840,1533.7,996.82,1524.03,200.63,156.23,144.99,48.75
Ier2,1460.6,1858.65,1496.94,121.99,108.64,89.3,85.26
Clu,1459.35,1645.86,1419.41,105.14,84.07,291.23,286.23
Cyr61,1419.79,1564.53,1399.01,14.8,13.62,18.12,19.12
Trf,1354.1,1516.94,1321.83,160.27,151.55,133.85,126.16
Gm25072,1317.7,973.27,1199.63,109.2,101.05,131.3,127.13
Gm28010,1317.12,1387.55,459.51,257.1,145.15,107.52,42.88
Comp,1116.83,1392.29,1056.09,0.91,0.79,0.12,0.22
3110079O15Rik,1115.31,1264.14,1108.15,2.52,1.67,0.66,0.82
Timp3,1108.37,1047.96,1112.61,52.33,52.27,63.47,62.89
G0s2,1099.45,1280.72,1083.94,63.03,54.62,22.35,25.1
Zfp36,1073.24,1114.28,1122.53,30.27,29.79,51.76,53.22
Ctgf,1016.99,1208.82,1013,21.83,17.04,12.42,12.76
Pam,1009.91,951.06,983.55,93.49,98.93,35.97,34.36
Prg4,962.56,927.41,904.14,1.11,0.73,0.69,1.12
Egr1,932.33,965.88,948.38,23.41,23.46,52.84,53.93
1500015O10Rik,915.99,1006.78,910.26,14.48,13.09,0.64,1.25
Cpe,904.26,948.72,875.11,110.79,107.06,57.74,60.63
Gm13394,896.38,1126.22,874.3,1.33,0,0,0
Id1,883.74,1044.55,902.88,132.19,115.73,106.24,103.05
Sln,859.03,947.79,836.64,15.16,16.19,43.35,43.97
Sncg,818.47,903.38,781.76,75.38,74.39,54.67,58.83
Csrp1,818.31,893.36,786.77,93.54,88.02,78.43,75.92
Id3,801.55,915.25,790.12,130.28,121.5,156.87,146.17
Ier3,794.07,775.26,817.26,41.99,39.51,58.16,51.47
Bgn,741.36,756.07,732.95,131.39,135.19,52.53,54.3
Wfdc2,729.64,858.82,720.93,1.19,0.28,0.49,0.37
Gm22002,726.35,567.87,822.43,99.3,104.31,68.16,53.81
Fmod,718.01,789.37,695.41,26.32,23.08,1.6,1.82
Cox6a2,707.69,780.61,728.27,34.77,31.87,89.04,90.81
Dusp1,693.73,779.32,665.64,65.68,61.21,23.21,22.64
Gm11032,691.6,430.5,833.37,131.67,121.22,111.27,72.46
Jun,681.55,801.94,681.9,23.38,19.59,32.68,32.87
Msmp,632.73,720.16,652,0.67,0.63,0,0
Tnnt1,615.03,653.03,647.3,6.13,6.11,4.52,4.06
Mia,603.57,675.43,601.38,1.94,2.41,3.76,3.4
