ID,gene,fullname,Subject 1- Haired,Subject 2- Haired,Subject 3- Haired,Subject 4- Haired,Subject 5- Haired,Subject 1- Bald,Subject 2- Bald,Subject 3- Bald,Subject 4- Bald,Subject 5- Bald,Haired,Bald,Haired-Bald,P-values
220970_s_at,KRTAP2-3,keratin associated protein 2-3(KRTAP2-3),10.6483257615,9.1551813947,10.6746253648,10.7638334719,11.1852913591,6.1207855049,3.5521221298,5.4837074502,4.2615571416,6.6076629091,10.4854514704,5.2051670271,5.2802844433,4.72310938957111E-05
207787_at,KRT33B,keratin 33B(KRT33B),10.9664352261,9.8315120413,11.0081981927,11.2225627853,11.0134841736,6.7105498246,4.3877045613,6.2570424975,5.0060156518,6.6702426054,10.8084384838,5.8063110281,5.0021274557,0.000013353
220972_s_at,KRTAP9-9,keratin associated protein 9-9(KRTAP9-9),11.2920768486,9.554436977,10.7934372476,11.3080353837,11.2540810031,7.6524547295,3.7783140407,6.3557660043,4.6566831308,6.9728219854,10.840413492,5.8832079781,4.9572055139,0.0002553304
206969_at,LOC100653049,"keratin, type I cuticular Ha4(LOC100653049)",11.5618170909,9.5075201453,10.9849378352,11.1835749681,11.2988185527,6.8553317162,4.547618619,6.2849284562,4.895661893,7.2658212047,10.9073337184,5.9698723778,4.9374613406,6.09883792388006E-05
208483_x_at,KRT33A,keratin 33A(KRT33A),12.5746588019,12.1278918202,12.7490766489,12.8317769142,12.6883488899,8.2183313208,6.9202564343,8.7079184304,7.1791577975,7.9793862085,12.594350615,7.8010100383,4.7933405767,0.000000839
220976_s_at,KRTAP1-1,keratin associated protein 1-1(KRTAP1-1),11.2240150637,9.7832716564,11.1759087763,11.2840816296,11.6686678547,7.3821874561,5.2088141491,6.4634107515,5.0871615411,7.3558541679,11.0271889961,6.2994856131,4.727703383,4.53846096929663E-05
220978_at,KRTAP1-3,keratin associated protein 1-3(KRTAP1-3),11.9374148713,9.9203541954,11.1120742254,11.6490412395,11.74763269,7.922358846,4.8832706075,7.0247600365,5.7009118461,7.2552793078,11.2733034443,6.5573161288,4.7159873156,9.97677189551871E-05
206677_at,KRT31,keratin 31(KRT31),12.3577501142,12.0644206145,13.0248266214,12.8367960349,12.7008376182,8.4927275052,7.3061284211,8.9395618784,7.7452965019,8.9888231845,12.5969262006,8.2945074982,4.3024187024,2.99880916770744E-06
221297_at,GPRC5D,G protein-coupled receptor class C group 5 member D(GPRC5D),8.9318632054,8.2141350076,9.2793452308,9.4522111711,9.0232513041,5.0983950067,3.8556931571,5.1003442278,4.253363509,5.1466000774,8.9801611838,4.6908791956,4.2892819882,1.51630254405972E-06
213711_at,KRT81,keratin 81(KRT81),10.2673739212,9.3576503948,10.2871312604,10.3598854791,10.6676202109,6.2006089093,5.8460899368,6.2500366718,5.2117216816,6.2246629428,10.1879322533,5.9466240285,4.2413082248,5.45540499170167E-07
215189_at,KRT86,keratin 86(KRT86),10.9929990017,9.7913672287,10.6366618655,10.7376659766,11.0027447774,7.3256559773,5.0533944593,6.8460803813,5.8068717186,7.168814701,10.63228777,6.4401634475,4.1921243225,2.6601527705811E-05
206423_at,ANGPTL7,angiopoietin like 7(ANGPTL7),8.0409724077,7.4663406406,7.158176638,8.1730007223,8.2437063016,3.9731185078,2.435369259,3.8885029502,2.9549239898,4.9479973402,7.816439342,3.6399824094,4.1764569327,2.59174188817832E-05
207457_s_at,LY6G6F,"lymphocyte antigen 6 complex, locus G6F(LY6G6F)",9.5298544373,9.0125802099,9.4482452644,9.5616383123,9.4728938784,5.0610586455,4.6322664121,5.7646138858,4.3460075177,6.4603053977,9.4050424205,5.2528503718,4.1521920487,6.15709904788262E-06
216810_at,KRTAP4-7,keratin associated protein 4-7(KRTAP4-7),11.0373401437,9.3431790517,10.583303293,10.8885277416,10.9922725466,8.0055873867,4.343497224,6.8288332535,5.6294145307,7.5010660026,10.5689245553,6.4616796795,4.1072448758,0.0005138152
216921_s_at,KRT35,keratin 35(KRT35),11.0810498987,10.9500473285,11.3872327412,11.1406879222,11.484105748,7.5958903006,6.0620072695,7.6056046326,6.0746942383,8.2989815662,11.2086247277,7.1274356014,4.0811891263,2.10798469182051E-05
207669_at,KRT83,keratin 83(KRT83),8.4542033713,8.4678478128,9.8113886628,9.9313899503,10.088330319,5.120497679,4.9153195882,6.2323608676,4.4996099353,5.6143801654,9.3506320232,5.2764336471,4.0741983761,2.5314594127375E-05
206027_at,S100A3,S100 calcium binding protein A3(S100A3),10.6725773827,10.1664704231,10.4650857665,10.4317487221,10.7548470093,6.1833300883,6.0821285986,6.9629755682,5.8696488666,7.2723956692,10.4981458607,6.4740957582,4.0240501025,7.19471655194164E-07
205713_s_at,COMP,cartilage oligomeric matrix protein(COMP),8.0458286143,8.6622240175,8.2177685725,9.2664595552,8.8605296699,4.2278556491,4.459136295,5.3005998818,4.0511253084,5.1701249611,8.6105620859,4.6417684191,3.9687936668,2.3271665737089E-06
207670_at,KRT85,keratin 85(KRT85),12.2733643577,11.6610676182,12.3916498609,11.8923801343,12.3861313983,8.6578625512,7.1287703569,8.7500761821,7.1522610085,9.2750828457,12.1209186739,8.1928105889,3.928108085,2.99271667995758E-05
207146_at,KRT32,keratin 32(KRT32),9.2871415365,8.6646015904,9.2889920018,8.9697606381,9.2910408164,6.0336246344,5.1798050928,5.9933168135,4.9086126263,6.652663164,9.1003073166,5.7536044662,3.3467028504,9.38467216276043E-06
